,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,partie,part
1,1,1,1,chercher,search
2,2,2,2,seulement,only
3,3,3,3,police,police
4,4,4,4,pensais,thought
5,5,5,5,aide,help
6,7,8,8,mois,month
7,8,9,10,car,because
8,9,10,11,mettre,to put
9,10,12,13,laisse,leash
10,11,13,14,eux,them
11,12,14,15,ville,city
12,13,15,16,chaque,each
13,14,16,17,parlé,speak
14,15,17,18,arrivé,come
15,16,18,19,devrait,should
16,17,19,20,bébé,baby
17,18,20,21,longtemps,long time
18,19,21,22,heures,hours
19,20,22,23,vont,will
20,21,23,24,pendant,while
21,22,24,25,revoir,meet again
22,23,25,26,aucune,any
23,24,26,27,place,square
24,25,27,28,parle,speak
25,26,28,29,compris,understood
26,27,29,30,savais,knew
27,28,30,31,étaient,were
28,29,31,32,attention,Warning
29,30,32,33,voici,here is
30,31,33,34,pourrais,could
31,33,35,36,donner,give
32,34,36,37,type,type
33,35,37,38,leurs,their
34,36,38,39,donné,given
35,37,39,40,train,train
36,38,40,41,corps,body
37,39,41,42,endroit,place
38,40,42,43,yeux,eyes
39,41,43,44,façon,way
40,42,44,45,écoute,listen
41,43,45,46,trouve,find
42,44,46,47,premier,first
43,45,47,48,main,hand
44,46,48,50,côté,side
45,47,49,51,pouvoir,power
46,48,50,53,tiens,here
47,49,51,54,matin,morning
48,50,52,55,tellement,so much
49,51,53,57,point,point
50,52,54,58,venu,came
51,53,55,59,suite,after
52,54,56,60,venez,come
53,55,57,61,devant,in front of
54,56,58,63,demandé,request
55,57,59,64,chambre,bedroom
56,58,60,65,mis,placed
57,59,62,67,droit,law
58,60,63,68,aimerais,would like to
59,61,64,69,aujourd'hui,today
60,63,66,71,cause,cause
61,64,67,72,espère,hope
62,65,68,73,eau,water
63,66,69,74,attendez,Wait
64,67,70,75,parti,left
65,68,71,76,nouvelle,new
66,69,72,77,boulot,job
67,70,73,78,arrêter,Stop
68,71,74,82,donne,given
69,72,75,83,loin,far
70,73,76,84,fin,end
71,74,78,86,chérie,sweetheart
72,75,79,87,gros,large
73,76,80,88,plutôt,rather
74,77,81,89,aura,will have
75,78,82,90,filles,girls
76,79,83,91,jouer,to play
77,80,84,92,bureau,office
